Kiang voltas;Poliester Metros;Tempo/minuto;2;3;4;5;6;7;8;9;10;11;12
50;48.3;53.6666666666667;26.8333333333333;17.8888888888889;13.4166666666667;10.7333333333333;8.94444444444444;7.66666666666667;6.70833333333333;5.96296296296296;5.36666666666667;4.87878787878788;4.47222222222222
100;96.6;107.333333333333;53.6666666666667;35.7777777777778;26.8333333333333;21.4666666666667;17.8888888888889;15.3333333333333;13.4166666666667;11.9259259259259;10.7333333333333;9.75757575757576;8.94444444444444
150;144.9;161;80.5;53.6666666666667;40.25;32.2;26.8333333333333;23;20.125;17.8888888888889;16.1;14.6363636363636;13.4166666666667
200;193.2;214.666666666667;107.333333333333;71.5555555555556;53.6666666666667;42.9333333333333;35.7777777777778;30.6666666666667;26.8333333333333;23.8518518518519;21.4666666666667;19.5151515151515;17.8888888888889
250;241.5;268.333333333333;134.166666666667;89.4444444444444;67.0833333333333;53.6666666666667;44.7222222222222;38.3333333333333;33.5416666666667;29.8148148148148;26.8333333333333;24.3939393939394;22.3611111111111
300;289.8;322;161;107.333333333333;80.5;64.4;53.6666666666667;46;40.25;35.7777777777778;32.2;29.2727272727273;26.8333333333333
350;338.1;375.666666666667;187.833333333333;125.222222222222;93.9166666666667;75.1333333333333;62.6111111111111;53.6666666666667;46.9583333333333;41.7407407407407;37.5666666666667;34.1515151515151;31.3055555555556
400;386.4;429.333333333333;214.666666666667;143.111111111111;107.333333333333;85.8666666666667;71.5555555555556;61.3333333333333;53.6666666666667;47.7037037037037;42.9333333333333;39.030303030303;35.7777777777778
450;434.7;483;241.5;161;120.75;96.6;80.5;69;60.375;53.6666666666667;48.3;43.9090909090909;40.25
500;483;536.666666666667;268.333333333333;178.888888888889;134.166666666667;107.333333333333;89.4444444444444;76.6666666666667;67.0833333333333;59.6296296296296;53.6666666666667;48.7878787878788;44.7222222222222
550;531.3;590.333333333333;295.166666666667;196.777777777778;147.583333333333;118.066666666667;98.3888888888889;84.3333333333333;73.7916666666667;65.5925925925926;59.0333333333333;53.6666666666667;49.1944444444444
600;579.6;644;322;214.666666666667;161;128.8;107.333333333333;92;80.5;71.5555555555556;64.4;58.5454545454545;53.6666666666667
650;627.9;697.666666666667;348.833333333333;232.555555555556;174.416666666667;139.533333333333;116.277777777778;99.6666666666667;87.2083333333333;77.5185185185185;69.7666666666667;63.4242424242424;58.1388888888889
700;676.2;751.333333333333;375.666666666667;250.444444444444;187.833333333333;150.266666666667;125.222222222222;107.333333333333;93.9166666666667;83.4814814814815;75.1333333333333;68.3030303030303;62.6111111111111
750;724.5;805;402.5;268.333333333333;201.25;161;134.166666666667;115;100.625;89.4444444444444;80.5;73.1818181818182;67.0833333333333
800;772.8;858.666666666667;429.333333333333;286.222222222222;214.666666666667;171.733333333333;143.111111111111;122.666666666667;107.333333333333;95.4074074074074;85.8666666666667;78.0606060606061;71.5555555555556
850;821.1;912.333333333333;456.166666666667;304.111111111111;228.083333333333;182.466666666667;152.055555555556;130.333333333333;114.041666666667;101.37037037037;91.2333333333333;82.9393939393939;76.0277777777778
900;869.4;966;483;322;241.5;193.2;161;138;120.75;107.333333333333;96.6;87.8181818181818;80.5
950;917.7;1019.66666666667;509.833333333333;339.888888888889;254.916666666667;203.933333333333;169.944444444444;145.666666666667;127.458333333333;113.296296296296;101.966666666667;92.6969696969697;84.9722222222222
1000;966;1073.33333333333;536.666666666667;357.777777777778;268.333333333333;214.666666666667;178.888888888889;153.333333333333;134.166666666667;119.259259259259;107.333333333333;97.5757575757576;89.4444444444444
1050;1014.3;1127;563.5;375.666666666667;281.75;225.4;187.833333333333;161;140.875;125.222222222222;112.7;102.454545454545;93.9166666666667
1100;1062.6;1180.66666666667;590.333333333333;393.555555555555;295.166666666667;236.133333333333;196.777777777778;168.666666666667;147.583333333333;131.185185185185;118.066666666667;107.333333333333;98.3888888888889
1150;1110.9;1234.33333333333;617.166666666667;411.444444444444;308.583333333333;246.866666666667;205.722222222222;176.333333333333;154.291666666667;137.148148148148;123.433333333333;112.212121212121;102.861111111111
1200;1159.2;1288;644;429.333333333333;322;257.6;214.666666666667;184;161;143.111111111111;128.8;117.090909090909;107.333333333333
1250;1207.5;1341.66666666667;670.833333333333;447.222222222222;335.416666666667;268.333333333333;223.611111111111;191.666666666667;167.708333333333;149.074074074074;134.166666666667;121.969696969697;111.805555555556
1300;1255.8;1395.33333333333;697.666666666667;465.111111111111;348.833333333333;279.066666666667;232.555555555556;199.333333333333;174.416666666667;155.037037037037;139.533333333333;126.848484848485;116.277777777778
1350;1304.1;1449;724.5;483;362.25;289.8;241.5;207;181.125;161;144.9;131.727272727273;120.75
1400;1352.4;1502.66666666667;751.333333333333;500.888888888889;375.666666666667;300.533333333333;250.444444444444;214.666666666667;187.833333333333;166.962962962963;150.266666666667;136.606060606061;125.222222222222
1450;1400.7;1556.33333333333;778.166666666667;518.777777777778;389.083333333333;311.266666666667;259.388888888889;222.333333333333;194.541666666667;172.925925925926;155.633333333333;141.484848484848;129.694444444444
1500;1449;1610;805;536.666666666667;402.5;322;268.333333333333;230;201.25;178.888888888889;161;146.363636363636;134.166666666667
1550;1497.3;1663.66666666667;831.833333333333;554.555555555556;415.916666666667;332.733333333333;277.277777777778;237.666666666667;207.958333333333;184.851851851852;166.366666666667;151.242424242424;138.638888888889
1600;1545.6;1717.33333333333;858.666666666667;572.444444444444;429.333333333333;343.466666666667;286.222222222222;245.333333333333;214.666666666667;190.814814814815;171.733333333333;156.121212121212;143.111111111111
1650;1593.9;1771;885.5;590.333333333333;442.75;354.2;295.166666666667;253;221.375;196.777777777778;177.1;161;147.583333333333
1700;1642.2;1824.66666666667;912.333333333333;608.222222222222;456.166666666667;364.933333333333;304.111111111111;260.666666666667;228.083333333333;202.740740740741;182.466666666667;165.878787878788;152.055555555556
1750;1690.5;1878.33333333333;939.166666666667;626.111111111111;469.583333333333;375.666666666667;313.055555555556;268.333333333333;234.791666666667;208.703703703704;187.833333333333;170.757575757576;156.527777777778
1800;1738.8;1932;966;644;483;386.4;322;276;241.5;214.666666666667;193.2;175.636363636364;161
1850;1787.1;1985.66666666667;992.833333333333;661.888888888889;496.416666666667;397.133333333333;330.944444444444;283.666666666667;248.208333333333;220.62962962963;198.566666666667;180.515151515152;165.472222222222
1900;1835.4;2039.33333333333;1019.66666666667;679.777777777778;509.833333333333;407.866666666667;339.888888888889;291.333333333333;254.916666666667;226.592592592593;203.933333333333;185.393939393939;169.944444444444
