;;;;Cliente;;;;;;;;FALSO;;;;;;;;;;;;;;ESTOQUES DE VOLTAS ARREDONDADAS;;;;;;;;
Código;pares;OC;Recebimento;Entrega;Referencia;Tamanho;metros;Agrupado;Total;;;cor;cor;cor;cor;;peso;peso;peso;peso;;;;METROS;;URDIDEIRA 4;URDIDEIRA 1 - 2 - 3;URDIDEIRA 4;URDIDEIRA 1 - 2 - 3;NOVA METRAGEM;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;35;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;36;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;37;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;38;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;39;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;40;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;41;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;42;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;43;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;44;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;45;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;46;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;47;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;48;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;49;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;50;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;51;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;52;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;53;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;54;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;55;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;56;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;57;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;58;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;59;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;60;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;61;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;62;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;63;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;64;;;0;;0;0;300;300;255;300;1;255;1
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;65;;;0;;0;0;300;300;255;300;1;255;1
