15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ATAC M1308 253 8MM;58;253;;;;;;;;;253;M1308;8mm;OK;OK;OK;0
ATAC M1308 278 8MM;58;278;;;;;;;;;278;M1308;8mm;OK;OK;OK;0
ATAC M9022 053 3MM;16;2;53;;;;M9022;;;;;M9022;1200;490;3MM;;0
ATAC M12015 CEREJA 8MM;72;CEREJA;;;;;;;;;CEREJA;M12015;8MM;OK;OK;OK;0
FITA MDP 486/1P 15MM;108;486/1P;;;;;;;;;486/1P;MDP;15MM;OK;OK;OK;0
FITA M32107 548 10MM;68;548;;;;;;;;;548;M32107;10MM;OK;OK;OK;0
ELAST CANELADO ZW 220/1 10MM;44;220/1;;;;;;;;;220/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 017/1 10MM;44;017/1;;;;;;;;;017/1;CANELADO ZW;10MM;OK;OK;OK;0
ATAC 14163 102 6MM;46;102;;;;;;;;;102;14163;6MM;OK;OK;OK;0
FITA M32107 058 12MM;80;58;;;;;;;;;58;M32107;12MM;OK;OK;OK;0
