aba;aplica_a;tipo;formula1;formula2;cor_fundo
DADOS DOS PRODUTOS;Q82:Q83;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O811:P814;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O817:Q818,O814:Q815,P813:Q815;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q79;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q251:Q252;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q281;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q108;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q200;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q824;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O150:Q150,P109:Q109,O85:Q86,O80:Q80,O77:Q78,O73:Q74,O62:Q63;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O264:Q264,O246:Q246,O168:Q168,O164:Q164,O151:Q153,O124:Q124,O117:Q117,O75:Q75,O68:Q68,O54:Q54,O50:Q51;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O91:P91,O81:P81,O27:P27;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P185:Q185,O116:Q116,O111:Q113,O36:Q36,O16:Q16;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O41:Q41;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O48:Q48;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O29:Q29;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O253:Q253;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O277:P277,O250:P250,O236:P239,O218:P218,P214,O210:P210,O207:P207,P205;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q834;valor da celula;"=""ERRADO""";;RGB 255
