;;;2026-08-10;;0;CONSUMO DIÁRIO
;ITENS;Quantidade;CORES;CONSUMO;ESTOQUE;ORDENS DE COMPRA
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
74489D 74858D 14667218 14714663 14761647 73710D 74390D 74539D 74488D 66811S 74843D 14613215 14725280 14613212 14714241 14715857 14613234 62023S 64129S  0;;;;0;;
