;;;;CLIENTE;1899-12-30;;;;;;;;;;FALSO;;;;;;
Código;pares;OC;Recebimento;Entrega;Referencia;Tamanho;metros;Agrupado;Total;;cor;cor;cor;cor;;peso;peso;peso;peso;;
75800120CM;612;14715857;2025-09-08;2025-10-20;ATAC M15101 102 LAVADO;1.2;1468.8;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;39;
75877120CM;276;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.2;662.4;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;40;
75877120CM;300;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.2;720;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;41;
75877120CM;240;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.2;576;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;42;
75877120CM;252;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.2;604.8;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;43;
75877130CM;156;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.3;405.6;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;44;
75877130CM;192;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.3;499.2;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;45;
75877130CM;168;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.3;436.8;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;46;
75877130CM;204;14613234;2025-08-14;2025-10-06;ATAC M15101 100 ;1.3;530.4;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;47;
92404120CM;384;14725280;2025-09-10;2025-10-20;ATAC M15097 101 10MM;1.2;921.6;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;48;
92404120CM;348;14725280;2025-09-10;2025-10-20;ATAC M15097 101 10MM;1.2;835.2;;0;0;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;49;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;50;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;51;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;52;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;53;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;54;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;55;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;56;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;57;
 ; ; ; ; ; ;#ERRO;#ERRO;;0; ;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;58;
